"filename", "language", "Dart", "comment", "blank", "total"
"c:\projeler\isg\isg_ihlal\lib\data\cubits\authentication_cubit.dart", "Dart", 41, 0, 7, 48
"c:\projeler\isg\isg_ihlal\lib\data\cubits\notification_cubit.dart", "Dart", 15, 0, 4, 19
"c:\projeler\isg\isg_ihlal\lib\data\cubits\violation_cubit.dart", "Dart", 28, 1, 6, 35
"c:\projeler\isg\isg_ihlal\lib\data\entity\violation.dart", "Dart", 99, 0, 11, 110
"c:\projeler\isg\isg_ihlal\lib\data\repo\auth_repo.dart", "Dart", 47, 0, 7, 54
"c:\projeler\isg\isg_ihlal\lib\data\repo\firebase_provider.dart", "Dart", 12, 0, 3, 15
"c:\projeler\isg\isg_ihlal\lib\data\repo\home_repo.dart", "Dart", 42, 0, 7, 49
"c:\projeler\isg\isg_ihlal\lib\data\repo\notification_repo.dart", "Dart", 30, 0, 3, 33
"c:\projeler\isg\isg_ihlal\lib\data\session\navigation_enum.dart", "Dart", 2, 0, 1, 3
"c:\projeler\isg\isg_ihlal\lib\data\session\navigation_session.dart", "Dart", 19, 0, 6, 25
"c:\projeler\isg\isg_ihlal\lib\data\states\authentication_states.dart", "Dart", 33, 0, 11, 44
"c:\projeler\isg\isg_ihlal\lib\data\states\home_states.dart", "Dart", 12, 0, 8, 20
"c:\projeler\isg\isg_ihlal\lib\data\states\notification_states.dart", "Dart", 12, 0, 6, 18
"c:\projeler\isg\isg_ihlal\lib\firebase_options.dart", "Dart", 53, 12, 4, 69
"c:\projeler\isg\isg_ihlal\lib\main.dart", "Dart", 180, 0, 8, 188
"c:\projeler\isg\isg_ihlal\lib\theme\app_colors.dart", "Dart", 15, 0, 13, 28
"c:\projeler\isg\isg_ihlal\lib\theme\text_styles.dart", "Dart", 45, 0, 10, 55
"c:\projeler\isg\isg_ihlal\lib\ui\account\account_screen.dart", "Dart", 27, 0, 2, 29
"c:\projeler\isg\isg_ihlal\lib\ui\analysis\analysis_screen.dart", "Dart", 16, 0, 2, 18
"c:\projeler\isg\isg_ihlal\lib\ui\archives\archive_page.dart", "Dart", 44, 0, 2, 46
"c:\projeler\isg\isg_ihlal\lib\ui\authentication\login.dart", "Dart", 152, 0, 2, 154
"c:\projeler\isg\isg_ihlal\lib\ui\authentication\signup.dart", "Dart", 144, 0, 2, 146
"c:\projeler\isg\isg_ihlal\lib\ui\common\parse_date.dart", "Dart", 19, 0, 4, 23
"c:\projeler\isg\isg_ihlal\lib\ui\common\search_bar.dart", "Dart", 37, 0, 2, 39
"c:\projeler\isg\isg_ihlal\lib\ui\common\sorry_empty.dart", "Dart", 32, 0, 2, 34
"c:\projeler\isg\isg_ihlal\lib\ui\common\top_bar.dart", "Dart", 89, 0, 3, 92
"c:\projeler\isg\isg_ihlal\lib\ui\common\violation_card.dart", "Dart", 100, 0, 2, 102
"c:\projeler\isg\isg_ihlal\lib\ui\home\home_page.dart", "Dart", 76, 0, 3, 79
"c:\projeler\isg\isg_ihlal\lib\ui\notifications\notifications_screen.dart", "Dart", 14, 0, 2, 16
"c:\projeler\isg\isg_ihlal\lib\ui\photo\photo_page.dart", "Dart", 12, 0, 2, 14
"Total", "-", 1447, 13, 145, 1605
