"filename", "language", "YAML", "Dart", "Properties", "JSON", "Markdown", "Swift", "XML", "C++", "comment", "blank", "total"
"c:\projeler\isg\isg_ihlal\README.md", "Markdown", 0, 0, 0, 0, 162, 0, 0, 0, 0, 48, 210
"c:\projeler\isg\isg_ihlal\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\projeler\isg\isg_ihlal\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\projeler\isg\isg_ihlal\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 35, 0, 11, 1, 47
"c:\projeler\isg\isg_ihlal\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\projeler\isg\isg_ihlal\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\projeler\isg\isg_ihlal\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\projeler\isg\isg_ihlal\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\projeler\isg\isg_ihlal\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\projeler\isg\isg_ihlal\android\gradle.properties", "Properties", 0, 0, 4, 0, 0, 0, 0, 0, 2, 1, 7
"c:\projeler\isg\isg_ihlal\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\projeler\isg\isg_ihlal\assets\empty.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\projeler\isg\isg_ihlal\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\projeler\isg\isg_ihlal\firebase.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\projeler\isg\isg_ihlal\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\projeler\isg\isg_ihlal\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
